Model,Craton,biasp,Grade,Q4YN,Category,GPMDB_result#,Plon,Plat,poleA95,FROMAGE,TOAGE,plateid,RlonMin,RlatMin,RecEMin,RecEMinAge,Description
S21,Congo,22.8,A-grade,Q4N,A,8126,319.0,-29.0,3.9,551.0,543.0,701,-63.3,-75.0,26.7,551.0,Sinyai Metadolerite
S21,W.Africa,37.1,B-grade,Q4Y,Bq4,9903,295.6,-57.6,15.7,577.0,564.0,714,-37.2,-89.8,52.8,577.0,
S21,W.Africa,49.0,B-grade,Q4Y,Bq4,9901,31.0,21.9,15.6,572.0,551.0,714,-25.4,140.0,64.6,551.0,"Tadoughast and Fajjoud Formations, upper Ouarzazate Group—pole B1"
S21,W.Africa,40.3,B-grade,Q4Y,Bq4,9902,27.1,27.3,14.9,547.0,526.0,714,-34.8,139.8,55.2,526.0,Djebel Boho—pole B2
L08,InErr,0.0,A-grade,Q4Y,Aq4,9279,44.1,31.4,15.7,619.0,613.0,302,-84.5,-85.6,5.5,613.0,Egersund dykes
L08,InErr,0.0,B-grade,Q4N,B,NEW,184.4,-19.8,28.3,580.0,561.0,302,66.2,-90.1,23.8,580.0,
L08,Baltica,40.6,A-grade,Q4N,A,9536,314.5,50.9,5.3,570.0,560.0,302,-44.1,17.1,45.9,570.0,Kurgashlya formation
L08,Baltica,33.3,A-grade,Q4Y,Aq4,9537,299.1,42.3,5.3,570.0,560.0,302,-51.4,16.3,38.6,560.0,Bakeevo formation
L08,Baltica,41.2,B-grade,Q4Y,Bq4,9538,186.1,1.7,3.8,570.0,550.0,302,45.0,-58.8,45.0,570.0,Basu Formation (“precise” sites)
L08,Baltica,2.3,B-grade,Q4N,B,9918,126.7,-17.3,6.0,570.0,544.0,302,81.7,-164.5,8.3,549.0,Chernokamenskay group sediments
L08,Baltica,45.4,B-grade,Q4N,B,9919,187.3,1.1,5.8,567.0,557.0,302,38.8,-61.7,51.2,567.0,Basu-Kukkarauk formation
L08,Baltica,14.9,B-grade,Q4N,B,MEAN,113.0,-31.3,9.9,556.0,555.0,302,65.2,-171.8,24.8,555.0,"MEAN Vendian White Sea sediments (3 studies, weighted by specimens)"
L08,Baltica,3.2,B-grade,Q4N,B,9535,138.4,-16.2,4.1,551.0,544.0,302,82.7,-115.2,7.3,544.0,Zigan formation clastic rocks
L08,InErr,0.0,B-grade,Q4Y,Bq4,6934–6936,355.3,19.0,17.4,617.0,613.0,199,-88.6,119.5,1.4,615.0,
L08,Laurentia,33.9,B-grade,Q4N,B,9364,332.7,42.6,12.0,585.0,581.0,199,-44.1,11.3,45.9,585.0,Baie des Moutons complex—A comp.
L08,Laurentia,13.6,B-grade,Q4N,B,9365,321.5,-34.2,15.4,585.0,581.0,199,-61.0,-151.4,29.0,581.0,Baie des Moutons complex—B comp.
L08,Laurentia,53.4,B-grade,Q4Y,Bq4,6458,301.4,46.3,6.0,580.0,570.0,199,-30.6,-10.3,59.4,580.0,Callander Alkaline Complex
L08,Laurentia,41.8,B-grade,Q4Y,Bq4,7474,296.7,42.0,17.5,577.0,567.0,199,-30.7,-14.4,59.3,577.0,Catoctin Basalts—A comp.
L08,InErr,0.0,B-grade,Q4Y,Bq4,1752,321.0,-20.0,6.7,569.0,561.0,199,-89.2,162.4,0.8,565.0,Sept-Iles Layered Intrusion—A comp.
L08,Rio,24.2,B-grade,Q4N,B,9520,183.1,-58.8,12.1,610.0,578.0,294,53.7,-31.5,36.3,578.0,
L08,Rio,59.5,A-grade,Q4Y,Aq4,9519,258.9,-12.2,13.9,583.0,573.0,294,-16.6,-1.5,73.4,583.0,Sierra de las Animas complex
L08,Congo,60.8,B-grade,Q4N,B,9276,304.8,-61.8,7.6,577.0,565.0,717,21.6,-1.4,68.4,565.0,
L08,Congo,55.7,A-grade,Q4N,A,8126,319.0,-29.0,3.9,551.0,543.0,717,-30.4,3.4,59.6,543.0,Sinyai Metadolerite
L08,W.Africa,49.9,B-grade,Q4Y,Bq4,9903,295.6,-57.6,15.7,577.0,564.0,714,24.4,-2.7,65.6,565.0,
L08,W.Africa,12.4,B-grade,Q4Y,Bq4,9901,31.0,21.9,15.6,572.0,551.0,714,-62.0,-92.2,28.0,565.0,"Tadoughast and Fajjoud Formations, upper Ouarzazate Group—pole B1"
L08,W.Africa,15.7,B-grade,Q4Y,Bq4,9902,27.1,27.3,14.9,547.0,526.0,714,-59.4,-129.1,30.6,547.0,Djebel Boho—pole B2
TC16,InErr,0.0,A-grade,Q4Y,Aq4,9279,44.1,31.4,15.7,619.0,613.0,302,-86.1,-119.1,3.9,613.0,Egersund dykes
TC16,Baltica,22.4,B-grade,Q4N,B,NEW,184.4,-19.8,28.3,580.0,561.0,302,39.3,65.8,50.7,580.0,
TC16,Baltica,61.9,A-grade,Q4N,A,9536,314.5,50.9,5.3,570.0,560.0,302,-22.8,-74.6,67.2,570.0,Kurgashlya formation
TC16,Baltica,75.2,A-grade,Q4Y,Aq4,9537,299.1,42.3,5.3,570.0,560.0,302,-9.5,-71.8,80.5,570.0,Bakeevo formation
TC16,Baltica,64.9,B-grade,Q4Y,Bq4,9538,186.1,1.7,3.8,570.0,550.0,302,-21.3,49.1,68.7,550.0,Basu Formation (“precise” sites)
